name,id
DMS Sta Ma. Chiquimula,211806186
DMS Sumpango,206304133
DMS Tacana,2151207236
DMS Tactic,220160445
DMS Tajumulco,2151209238
DMS Tamahu,220160546
DMS Taxisco,209609108
DMS Tecpan,207406142
DMS Tectitan,2161321278
DMS Teculutan,223190582
DMS Tecun Uman,2151217246
DMS Tejutla,2151210239
DMS Teleman,220160749
DMS Tierra Blanca,2651710328
DMS Tierra Nueva,2021066
DMS Tiquisate,208506158
DMS Todos Santos,2161315272
DMS Totonicapan,211801180
DMS Tucuru,220160647
DMS Tumbador,2151213242
DMS Tumbador ,2151212241
DMS Tzetun,2181420316
DMS Union Cantinil,2161332290
DMS Uspantan,2171415308
DMS Usumatlan,223190683
DMS V El Jicaro,20520565
DMS Vi Sansare,20520667
DMS Vii Sanarate,20520768
DMS Viii San Antonio La Paz,20520869
DMS Villa Canales,20411625
DMS Villa Nueva ,20411523
DMS Xalbal,2181420317
DMS Xejuyup,210706174
DMS Yupiltepeque,2262206120
DMS Zacapa,223190178
DMS Zacualpa,2171404297
DMS Zapotitlan,2261104230
DMS Zaragoza,207415151
DMS Zona 1,27810137
DMS Zona 11,27810134
DMS Zona 3,27810131
DMS Zona 3 ,27810132
DMS Zona 5,27810140
DMS Zona 6,27810136
DMS Zunil,212916203
